date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:20	19156/19156	---M--	200	added ('OK')	text/html	date:Fri,%2018%20Dec%202020%2016:54:35%20GMT	https://Banklyforextrade.com/index.html	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/index.html	(from )
22:09:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Mar%202021%2021:09:27%20GMT	https://Banklyforextrade.com/robots.txt		(from )
22:09:23	16958/16958	---M--	200	added ('OK')	image/x-icon	date:Sun,%2029%20Jan%202017%2007:23:36%20GMT	https://Banklyforextrade.com/img/favicon.ico	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/img/favicon.ico	(from https://Banklyforextrade.com/index.html)
22:09:24	31030/31030	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Feb%202018%2012:47:48%20GMT	https://Banklyforextrade.com/css/font-awesome.min.css	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/css/font-awesome.min.css	(from https://Banklyforextrade.com/index.html)
22:09:24	144877/144877	---M--	200	added ('OK')	text/css	date:Thu,%2018%20Jan%202018%2006:33:30%20GMT	https://Banklyforextrade.com/css/bootstrap.min.css	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/css/bootstrap.min.css	(from https://Banklyforextrade.com/index.html)
22:09:27	16475/16475	---M--	200	added ('OK')	text/css	date:Wed,%2011%20Apr%202018%2017:17:46%20GMT	https://Banklyforextrade.com/css/themify-icons.css	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/css/themify-icons.css	(from https://Banklyforextrade.com/index.html)
22:09:28	4028/4028	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202017%2001:43:12%20GMT	https://Banklyforextrade.com/css/owl.carousel.css	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/css/owl.carousel.css	(from https://Banklyforextrade.com/index.html)
22:09:29	30166/30166	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Dec%202020%2008:52:02%20GMT	https://Banklyforextrade.com/css/style.css	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/css/style.css	(from https://Banklyforextrade.com/index.html)
22:09:30	3504/3504	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Dec%202020%2019:34:36%20GMT	https://Banklyforextrade.com/img/j.png	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/img/j.png	(from https://Banklyforextrade.com/index.html)
22:09:30	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Mar%202021%2021:09:35%20GMT	https://Banklyforextrade.com/auth/register.php	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/auth/register.php	(from https://Banklyforextrade.com/index.html)
22:09:31	11919/11919	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Dec%202020%2018:36:16%20GMT	https://Banklyforextrade.com/about.html	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/about.html	(from https://Banklyforextrade.com/index.html)
22:09:33	1612/1612	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2021:09:37%20GMT	https://Banklyforextrade.com/auth/dashboard/login-user.php	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/auth/dashboard/login-user.html	(from https://Banklyforextrade.com/index.html)
22:09:36	2546/2546	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2021:09:40%20GMT	https://Banklyforextrade.com/auth/dashboard/signup-user.php	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/register.php	(from https://Banklyforextrade.com/index.html)
22:09:38	90531/90531	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Dec%202020%2020:35:22%20GMT	https://Banklyforextrade.com/img/l.jpg	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/img/l.jpg	(from https://Banklyforextrade.com/index.html)
22:09:39	1461/1461	---M--	200	added ('OK')	image/png	date:Sun,%2020%20May%202018%2009:02:36%20GMT	https://Banklyforextrade.com/img/process-icons/1st.png	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/img/process-icons/1st.png	(from https://Banklyforextrade.com/index.html)
22:09:40	188690/188690	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Dec%202020%2008:48:52%20GMT	https://Banklyforextrade.com/img/m.jpg	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/img/m.jpg	(from https://Banklyforextrade.com/index.html)
22:09:40	1514/1514	---M--	200	added ('OK')	image/png	date:Sun,%2020%20May%202018%2009:02:36%20GMT	https://Banklyforextrade.com/img/process-icons/2nd.png	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/img/process-icons/2nd.png	(from https://Banklyforextrade.com/index.html)
22:09:42	1392/1392	---M--	200	added ('OK')	image/png	date:Sun,%2020%20May%202018%2009:02:34%20GMT	https://Banklyforextrade.com/img/process-icons/3rd.png	C:/Users/KING%20PC/Desktop/newclient/Banklyforextrade.com/img/process-icons/3rd.png	(from https://Banklyforextrade.com/index.html)
